资产名,sysname,类型,厂商,型号
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-H14-Brocade-SAN01,ZJHZ-ZYC2Q-XSCYY1-2F-H14-Brocade-SAN01,SAN交换机,博科,Brocade 6510
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-H15-Brocade-SAN02,ZJHZ-ZYC2Q-XSCYY1-2F-H15-Brocade-SAN02,SAN交换机,博科,Brocade 6510
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-H03-H3CS12516F-EOR01,ZJHZ-ZYC2Q-XSCYY1-2F-H03H04-H3CS12516F-EOR0102,交换机,H3C,S12500
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-H04-H3CS12516F-EOR02,ZJHZ-ZYC2Q-XSCYY1-2F-H03H04-H3CS12516F-EOR0102,交换机,H3C,S12500
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-G13-H3CS6900-BUSI-TOR01,ZJHZ-ZYC2Q-XSCYY1-2F-G13G15-H3CS6900-BUSI-TOR0102,交换机,H3C,S6900-4F
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-G15-H3CS6900-BUSI-TOR02,ZJHZ-ZYC2Q-XSCYY1-2F-G13G15-H3CS6900-BUSI-TOR0102,交换机,H3C,S6900-4F
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-G15-H3CS6900-MGMT-TOR02,ZJHZ-ZYC2Q-XSCYY1-2F-G13G15-H3CS6900-MGMT-TOR0102,交换机,H3C,S6900-4F
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-G13-H3CS6900-MGMT-TOR01,ZJHZ-ZYC2Q-XSCYY1-2F-G13G15-H3CS6900-MGMT-TOR0102,交换机,H3C,S6900-4F
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-H11-H3CS7610-Pmgmt-SW01,ZJHZ-ZYC2Q-XSCYY1-2F-H11H12-H3CS7610-Pmgmt-SW0102,交换机,H3C,S7600
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-H12-H3CS7610-Pmgmt-SW02,ZJHZ-ZYC2Q-XSCYY1-2F-H11H12-H3CS7610-Pmgmt-SW0102,交换机,H3C,S7600
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-G17-HDS-G1000,,交换机,H3C,S6900-4F
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-H09-HWS9306-SW03,ZJHZ-ZYC2Q-XSCYY1-2F-H09H10-HWS9306-SW0304,交换机,华为,S9300
,,,,
ZJHZ-ZYC2Q-XSCYY1-2F-H10-HWS9306-SW04,ZJHZ-ZYC2Q-XSCYY1-2F-H09H10-HWS9306-SW0304,交换机,华为,S9300
